CODIGO_ACTIVIDAD,DESCRIPCION_ACTIVIDAD,ANIO,CODIGO_ENTIDAD,ENTIDAD,H000B_Y_H000C_I000B_Y_I000C,H000B_Y_I000B,H000C_Y_I000C,H000A_H000B_Y_H000C,H000B,H000C,I000B_Y_I000C,I000B,I000C,H000E_Y_H000F_I000E_Y_I000F,H000E_Y_I000E,H000F_Y_I000F,H000E_Y_H000F,H000E,H000F,I000E_Y_I000F,I000E,I000F,J000A_J000B_J000C,J000B,J000C,J000A_Y_H000A,J000B_Y_H000B,J000C_Y_H000C,K000A,K321A,K322A,K324A,K200A,K421A,K412A,K521A,K590A,K610A,K620A,K720A,K999A_Y_K810A_Y_K820A,M000A,M321A,M322A,M200A,M323A,M510A,M590A,M999A,O111A,O112A,O200A,P000A,Q000A,Q100A,Q200A,Q300A,Q400A,Q900A,Q000B,Q100B,Q200B,Q300B,Q400B,Q900B,Q000C,Q100C,Q200C,Q300C,Q400C,Q900C,Q000D,Q100D,Q200D,Q300D,Q400D,Q900D,ESTATUS
23,Construcción,2018,07,Chiapas,11901,10209,1692,11478,9828,1651,423,382,41,27316,22335,4981,26098,21235,4863,1218,1100,118,1182648,984571,198077,107370,100184,119996,4246439,2065647,150119,0,13484,587709,48295,601503,23101,67354,0,46038,643189,8727025,6324381,202922,67411,469348,93725,527649,1041589,6357327,114885,1090,103145,1944848,1111672,163472,470077,68357,131269,218015,109316,6484,79729,11326,11161,49864,23153,1090,19231,4577,1813,12309,0,76,12220,0,13,Cifras definitivas
23,Construcción,2018,08,Chihuahua,20956,17147,3809,18598,15303,3296,2358,1844,514,47406,36249,11157,40619,30939,9680,6787,5309,1477,2872876,2333238,539638,159065,152472,163748,21570146,6673199,1783108,124145,1303673,617527,132375,177482,220500,589271,11106,8288447,1649312,25884283,19370808,1620072,3724785,28678,30124,345921,763895,22644613,3864615,1772,418547,4912420,2412268,757559,1195094,221919,325579,646494,264203,31876,275471,41639,33303,285088,97438,62712,57443,12060,55434,129884,24909,64109,39651,1215,0,Cifras definitivas
23,Construcción,2018,09,Ciudad de México,110261,94161,16099,90681,77146,13536,19580,17016,2564,261977,217806,44171,205568,168790,36778,56409,49016,7393,13379909,11144776,2235133,149431,144464,165130,126631308,55941670,3192398,39,2908939,4322190,476483,2080331,1063692,6661154,14605,17565261,32404548,134671195,89182254,13674321,14793313,9575170,60418,518215,6867506,117613555,10410329,16206,933620,10995596,4837622,2108670,2271017,1049662,728626,1505940,722534,85692,438970,182256,76489,361292,210062,9239,73009,42464,26518,172622,88529,55884,19646,6562,2001,Cifras definitivas
23,Construcción,2018,10,Durango,8555,7590,965,8075,7129,946,480,461,19,19869,17079,2789,18486,15752,2734,1382,1327,55,871104,755223,115881,109176,105942,122497,6140339,3715677,2612,6694,49582,430382,24799,95467,8036,41366,0,384636,1381088,9350888,8120362,33131,141650,44423,142555,40442,828325,6213493,7320,1512,69650,5344833,2256324,570215,1585225,179394,753674,347711,160430,18732,147168,8609,12772,57666,21148,3869,30542,1074,1033,222655,106883,0,115584,187,0,Cifras definitivas
23,Construcción,2018,11,Guanajuato,28433,24758,3675,28222,24585,3637,212,174,38,68062,57178,10884,67452,56677,10775,609,500,109,3057878,2609304,448574,109289,106135,123337,11608039,7311128,1418746,26625,658011,381977,25540,268037,42943,42006,5980,910219,516828,22900523,17174062,1300631,1799182,293842,2982,52890,2276934,14377543,3327103,0,1086097,5198509,3044597,501502,1197824,254851,199735,960354,541009,17081,324914,42990,34361,216303,148138,4504,49926,7446,6289,34344,17296,0,12837,2970,1241,Cifras definitivas
23,Construcción,2018,12,Guerrero,2723,2102,620,2723,2102,620,0,0,0,6200,4619,1581,6200,4619,1581,0,0,0,324508,246250,78258,119846,117129,126145,1253457,729797,106513,0,16518,85940,19194,17504,65787,0,0,24867,187335,1825927,1491245,29036,79889,0,115399,31116,79242,1744520,977520,0,2608,1329459,795925,213425,239011,50877,30221,246298,190062,9314,36545,7104,3273,38335,34950,975,1187,1202,20,3923,46,0,3758,119,0,Cifras definitivas
23,Construcción,2018,13,Hidalgo,10077,8054,2023,9999,7976,2023,78,78,0,23312,17620,5691,23079,17388,5691,232,232,0,1007690,795494,212196,106905,99736,104915,5161574,1825265,148080,17791,133398,245327,20090,67980,83090,17994,0,753810,1848747,7248935,6092636,187403,381123,33918,120828,154833,278194,6268388,385694,49479,224024,3946498,1482351,833094,872127,506760,252167,675643,319116,28061,191836,96422,40208,146151,37857,62072,15082,932,30208,26149,23181,0,2968,0,0,Cifras definitivas
23,Construcción,2018,14,Jalisco,57762,49881,7881,54121,46789,7333,3641,3093,548,136750,113294,23456,126256,104381,21875,10494,8913,1581,6221717,5314262,907455,116249,113580,123757,27029352,9617343,929697,0,2996267,1051788,552740,249982,453706,389433,11040,7430880,3346475,45246807,18053890,2193306,8560813,255537,114232,379111,15689918,39400355,10265753,2922,260438,17317173,8214157,2872235,1261500,501221,4468060,2892700,1896631,119592,317449,93896,465132,225958,42183,16395,24205,126225,16951,40128,18603,13666,7829,1,28,Cifras definitivas
23,Construcción,2018,15,México,34025,28280,5745,32029,26570,5459,1995,1710,286,77682,62731,14951,71935,57809,14126,5747,4922,825,4661791,4018424,643367,148896,151240,117845,24139130,7793065,532950,0,2213876,3364972,181524,362452,762122,601508,7935,1730162,6588564,28218409,19053299,711830,6325322,837515,90664,120356,1079424,18625911,2163539,0,198519,8896770,5941201,1168560,1454977,155854,176178,1705217,1290406,44483,319952,28208,22168,157473,106312,1278,33610,7659,8614,97844,85086,0,12111,648,0,Cifras definitivas
23,Construcción,2018,16,Michoacán de Ocampo,19882,16400,3482,19209,15729,3480,673,671,2,44136,34852,9284,42198,32919,9279,1938,1933,5,2097589,1723240,374349,110191,109557,107575,4284381,2935217,218865,0,13133,139081,13187,38347,13323,220570,230,365128,327301,4484813,4118564,163103,37541,524,43407,22017,99656,7568975,1381819,128,98209,2622488,1525998,266399,705605,59660,64826,325757,180176,8145,121896,7698,7844,31161,12009,3476,11826,1188,2662,21023,5443,8002,7354,22,202,Cifras definitivas
