CODIGO_ACTIVIDAD,DESCRIPCION_ACTIVIDAD,ANIO,CODIGO_ENTIDAD,ENTIDAD,H000B_Y_H000C_I000B_Y_I000C,H000B_Y_I000B,H000C_Y_I000C,H000A_H000B_Y_H000C,H000B,H000C,I000B_Y_I000C,I000B,I000C,H000E_Y_H000F_I000E_Y_I000F,H000E_Y_I000E,H000F_Y_I000F,H000E_Y_H000F,H000E,H000F,I000E_Y_I000F,I000E,I000F,J000A_J000B_J000C,J000B,J000C,J000A_Y_H000A,J000B_Y_H000B,J000C_Y_H000C,K000A,K321A,K322A,K324A,K200A,K421A,K412A,K521A,K590A,K610A,K620A,K720A,K999A_Y_K810A_Y_K820A,M000A,M321A,M322A,M200A,M323A,M510A,M590A,M999A,O111A,O112A,O200A,P000A,Q000A,Q100A,Q200A,Q300A,Q400A,Q900A,Q000B,Q100B,Q200B,Q300B,Q400B,Q900B,Q000C,Q100C,Q200C,Q300C,Q400C,Q900C,Q000D,Q100D,Q200D,Q300D,Q400D,Q900D,ESTATUS
23,Construcción,2019,05,Coahuila de Zaragoza,20864,17429,3435,17647,14748,2899,3217,2680,537,48115,38333,9782,38855,30618,8237,9260,7715,1544,2603389,2132637,470752,148792,144602,162409,14388331,7255906,782496,0,137185,467262,57375,277971,64449,372858,0,3334074,1638756,18054653,13796683,3031616,391980,106212,147291,423122,157749,18143450,4083880,1705,232625,4862830,2321818,579887,1727474,88943,144707,564362,208325,14139,313417,12107,16374,183891,112333,18695,48452,3033,1378,84700,61752,1548,21400,0,0,Cifras definitivas
23,Construcción,2019,06,Colima,6051,5191,860,5991,5131,860,60,60,0,13571,11104,2467,13396,10929,2467,175,175,0,618116,518099,100017,105136,100975,116273,2203809,1062910,76306,498,126487,203718,13648,48914,29390,12432,0,68962,560545,4539110,3485955,178902,361385,215412,8472,108603,180382,4412440,189460,0,152335,1264213,458368,393888,245300,86144,80512,286997,87111,55799,121015,12658,10414,26665,17554,74,3380,1156,4501,106757,100032,1493,5233,0,0,Cifras definitivas
23,Construcción,2019,07,Chiapas,11012,9378,1634,10653,9058,1595,359,320,39,25074,20209,4865,24041,19288,4753,1033,921,112,1169838,972033,197805,114604,107307,124020,4527048,2814415,107533,0,20952,238226,36737,216347,19398,22793,0,52315,998333,7105202,4694736,247210,59862,339349,73803,565465,1124777,5737780,94109,377,72359,1783490,1121637,126566,403776,46935,84576,198166,112761,3653,67629,7769,6354,45960,23531,378,17334,3159,1558,9231,0,28,9187,0,16,Cifras definitivas
23,Construcción,2019,08,Chihuahua,19833,16232,3601,17787,14697,3090,2046,1536,511,44759,34105,10654,38867,29682,9185,5892,4423,1469,2621279,2112780,508499,151128,143760,164557,17964344,6399052,1302848,81266,1369033,441242,110913,117380,190224,534533,9885,5676857,1731110,24146547,17216030,1708077,3911511,11451,26593,279825,993060,25710666,4099789,927,331940,4162227,2151520,542124,978006,184316,306261,522054,204372,17934,233883,34288,31578,264080,88765,57887,46812,12197,58418,137726,43171,57012,36420,1124,0,Cifras definitivas
23,Construcción,2019,09,Ciudad de México,100763,85794,14969,85241,72380,12861,15522,13414,2108,237387,196301,41086,192681,157673,35007,44706,38628,6078,13404687,11124969,2279718,159310,153702,177255,97869678,41694184,1904905,19,5199226,4019209,361345,914160,928352,6357429,12765,13922346,22555739,111368205,59578912,19151443,14854865,9712166,33646,521383,7515791,110112713,13720554,4987,626992,9552376,4664593,1302937,1953782,890703,740360,1478084,834430,41578,379642,151415,71019,276863,127066,8981,77841,33559,29416,104228,53463,25807,21120,2667,1171,Cifras definitivas
23,Construcción,2019,10,Durango,7851,6933,919,7422,6522,900,430,411,19,17909,15441,2468,16673,14260,2413,1237,1182,55,792997,681760,111237,108234,104528,123660,4306906,2855162,10019,0,43567,271850,17155,38866,6134,28676,0,226578,808899,8315715,6597314,54621,124476,29665,116703,14272,1378663,5700670,36692,439,59435,6185270,2759048,326325,1551398,246501,1301999,300566,133162,10058,132230,7957,17160,64101,16540,4292,40899,1606,764,313148,187173,0,125686,289,0,Cifras definitivas
23,Construcción,2019,11,Guanajuato,26295,23014,3281,26093,22850,3242,202,163,39,61539,51860,9680,60958,51390,9568,581,469,112,2744487,2379772,364715,106197,104145,112489,10312663,6383656,1360067,17387,555877,319112,22098,257924,32324,41983,5980,892895,423361,22027247,13567220,3508049,1685908,320547,46133,136113,2763275,15424940,3162257,0,641890,5899514,3774593,373569,1204602,340025,206726,795064,436621,8519,281684,38732,29508,120655,85531,1141,24944,5599,3441,19054,10077,0,6139,2230,607,Cifras definitivas
23,Construcción,2019,12,Guerrero,2485,1928,557,2485,1928,557,0,0,0,5788,4220,1569,5788,4220,1569,0,0,0,297252,225647,71605,122375,117056,128534,728984,346373,109699,0,13356,54641,6616,11517,22631,0,0,10736,153415,810853,603765,31456,73328,10322,45071,21057,25853,1092477,981732,0,5023,1283064,614430,173377,448192,29702,17362,242209,130810,5411,98816,4749,2423,5455,3682,0,946,819,7,1496,0,0,1496,0,0,Cifras definitivas
23,Construcción,2019,13,Hidalgo,10072,8057,2015,9941,7926,2015,132,132,0,23066,17448,5618,22683,17065,5618,383,383,0,1069476,848842,220634,114035,107099,109508,4808173,2572745,145054,3645,118639,185003,14570,54740,47794,35040,0,281408,1349535,5481995,4436421,106531,338958,19013,104660,139941,336470,5798837,208049,46774,184761,3590657,1277652,561481,650235,784261,317028,619879,247487,15157,147385,154427,55423,99297,35560,23800,14268,954,24715,12516,9880,0,2636,0,0,Cifras definitivas
23,Construcción,2019,14,Jalisco,56579,48624,7956,52799,45429,7370,3780,3195,585,132002,109725,22277,121109,100519,20590,10893,9206,1687,6093528,5137542,955986,116925,113090,129708,24251103,7465413,1158727,0,3180133,5074225,126759,144881,296349,313066,18860,4060484,2412205,42312006,12831940,3370255,9086189,265913,78151,359165,16320393,38502934,10425249,4274,224189,17265581,8147357,2334875,1528232,523184,4731933,2841236,1785648,63904,410480,95873,485331,340745,87466,15240,47553,169083,21403,87708,75462,5128,7097,1,20,Cifras definitivas
23,Construcción,2019,15,México,32705,27225,5480,30281,25172,5109,2424,2053,371,73699,60030,13669,66701,54105,12597,6998,5926,1072,6572404,5659200,913204,222640,224823,178738,26094211,8994170,430632,0,2085619,3572453,122343,307109,718562,1293451,10514,2776104,5783255,29562404,20163694,922821,5958699,877570,114481,104354,1420785,24622812,2621049,0,146887,9195074,6739694,988514,1141487,139181,186198,1786774,1473593,28222,246049,23381,15529,170497,129199,36,28407,6069,6786,121061,103226,0,16997,837,0,Cifras definitivas
23,Construcción,2019,16,Michoacán de Ocampo,18453,15183,3271,18257,14989,3269,196,194,2,39856,31455,8401,39292,30896,8396,564,559,5,2006488,1663287,343201,111047,110969,104998,3350261,1714459,340225,0,10408,149805,9993,46738,15269,63382,230,558979,440773,4447703,3880902,368364,29730,306,35192,17512,115696,6865536,1846789,40,62548,3203679,1815132,201356,1024643,75620,86927,437808,236830,4503,175710,10477,10289,37313,16831,2921,11723,1630,4208,16589,6846,1818,7776,35,115,Cifras definitivas
23,Construcción,2019,17,Morelos,7038,5772,1266,6886,5655,1231,152,117,35,16312,12560,3752,15872,12222,3649,441,338,102,657007,543340,113667,95823,96086,92342,2156072,1283725,194534,0,223682,52503,7100,5238,23623,12051,230,69076,284310,4178665,2548412,635978,639099,666,28564,226165,99780,2775441,387573,841,15780,864460,257773,216379,351118,18641,20548,113663,37159,6952,63271,3045,3235,100249,3473,55274,39587,1875,39,4134,3232,0,902,0,0,Cifras definitivas
23,Construcción,2019,18,Nayarit,5490,4699,791,4879,4268,610,611,431,181,12197,9994,2203,10433,8751,1682,1764,1243,521,634653,553536,81117,132212,129688,132874,2398400,1213876,47690,309,2103,162204,38639,206675,5254,66015,28635,431927,195074,3004270,2681532,131224,6011,88,17046,13903,154466,2628486,338259,0,159664,2211336,1550100,201586,329157,67474,63020,221621,124114,5862,74310,11211,6124,12428,4135,0,5886,1528,878,4212,1425,142,2645,0,0,Cifras definitivas
23,Construcción,2019,19,Nuevo León,45035,37400,7634,38008,31567,6440,7027,5833,1194,117913,99548,18366,97669,82742,14928,20244,16806,3438,6766951,5542346,1224605,178980,175572,190151,36516700,16220321,3491957,9387,3767286,717445,75272,214742,3092514,1630209,4255,3013325,4279987,97981593,27918002,50929081,10763648,533701,112759,253459,7470942,47433158,8808767,19,386735,13478005,5649037,1744661,5115812,475842,492654,2415363,1358627,17920,927859,57766,53191,425408,247778,9925,100488,50192,17025,89339,23947,9141,48589,2502,5161,Cifras definitivas
23,Construcción,2019,20,Oaxaca,9828,8265,1563,9795,8250,1544,33,14,19,21254,17288,3966,21158,17249,3909,95,39,56,1072723,881254,191469,115569,106813,124000,1204643,923299,2706,615,8063,35837,42488,6690,41308,3270,608,9084,130675,4674742,4368446,10235,23035,0,95149,60577,117301,4155915,9768,284,73461,1220366,687407,165031,300741,35211,31976,149951,66039,4875,67117,6027,5893,856,249,28,519,23,36,87,22,21,32,9,4,Cifras definitivas
23,Construcción,2019,21,Puebla,18295,15580,2715,16892,14411,2482,1402,1169,233,41980,33988,7992,37941,30620,7321,4039,3368,671,1962573,1663898,298675,118183,115464,120352,7709426,5383714,273738,0,968905,160436,19240,176436,28551,178853,4550,215401,299602,22396444,11877057,964568,2764429,2453702,24867,1306694,3005128,11288562,485333,0,260453,3208303,231412,102414,2014043,391161,469274,728039,41840,1577,550585,66910,67128,268516,50518,46,188905,14873,14174,226603,113151,0,113402,50,0,Cifras definitivas
23,Construcción,2019,22,Querétaro de Arteaga,19308,16050,3258,18839,15680,3159,468,370,99,44140,34482,9659,42791,33416,9374,1350,1066,284,2117374,1725448,391926,114039,110042,124057,10516225,5380797,596645,119293,96785,454593,47454,108408,87922,62419,0,1666172,1895736,19814281,9011381,1168362,276543,8120060,170537,128621,938778,13209315,1129239,20,376957,3830412,1784820,737627,1034698,136318,136950,550912,307568,7165,215317,12236,8626,27602,9984,5992,8163,2688,774,29876,26121,2226,1459,69,0,Cifras definitivas
23,Construcción,2019,23,Quintana Roo,8590,6888,1702,7494,5837,1657,1096,1051,45,20415,15850,4565,17261,12825,4437,3154,3026,128,1184279,906102,278177,158456,155235,167839,2410355,1170287,53610,2768,74138,149838,62715,26670,51973,86147,1270,474088,256851,3299321,2525792,142425,211811,114134,29896,56859,218406,3178872,432505,0,1346,1122164,365543,122322,328490,116513,189296,131644,53412,2974,33440,20155,21664,9722,3815,4,2317,2269,1318,4395,1148,0,3200,48,0,Cifras definitivas
23,Construcción,2019,24,San Luis Potosí,12412,10256,2157,12318,10173,2145,94,83,11,27717,21550,6167,27448,21310,6138,269,240,29,2138286,1747753,390533,176095,171802,182035,26280864,3190001,347787,2786,86876,220934,103835,62428,28965,44922,345,21099152,1092835,60148320,7038259,1351127,248244,25533998,19999,11725,25944968,10070212,1365724,35,235775,2329061,736337,269257,1088263,103673,131532,504246,220938,9105,239575,16520,18108,27346,12694,0,8652,2760,3240,3192,722,0,2003,467,0,Cifras definitivas
23,Construcción,2019,25,Sinaloa,22414,19062,3351,21547,18390,3157,866,672,194,50537,41540,8997,48036,39601,8436,2500,1939,561,2419928,2021113,398815,113196,109902,126314,8963332,4419574,552527,54265,767524,387447,36664,83388,66606,112133,472,918116,1564617,15901145,8906038,3446270,2192905,26079,171432,113773,1044649,12651857,1923753,12529,207911,4370924,2442323,753762,805287,221869,147683,615035,379380,7124,169461,38388,20682,558644,72586,355903,112698,7442,10014,46902,4115,10,42778,0,0,Cifras definitivas
23,Construcción,2019,26,Sonora,24475,21519,2957,21088,18474,2614,3387,3045,343,56947,48257,8689,47188,39484,7703,9759,8773,986,3206510,2833626,372884,153042,153383,142668,24412925,6479635,578377,0,1593119,804156,56038,736084,177849,521665,2161,2474803,10989038,30206961,16060842,1325706,4551668,217003,67413,337125,7647204,18819879,1421041,1109,350047,27061518,3111497,21625558,1963100,208620,152743,1254265,233660,738295,243033,21259,18019,135671,56253,2397,53649,15558,7814,43473,11469,1762,16741,6051,7448,Cifras definitivas
23,Construcción,2019,27,Tabasco,7828,6850,978,7172,6331,841,655,518,137,18700,16347,2353,16865,14907,1959,1835,1441,395,732682,644252,88430,102721,101759,105106,11990223,5232744,474505,0,225293,719621,277913,280181,31537,441236,0,1067640,3239552,40622720,36075239,991487,2302770,212895,148408,48661,843260,11661479,696580,0,321324,4956398,1518312,1162527,1832329,206246,236984,432989,124888,31660,242257,13081,21103,138764,33131,1628,56867,34659,12479,57272,38730,252,12951,2186,3154,Cifras definitivas
23,Construcción,2019,28,Tamaulipas,16274,14035,2240,15302,13316,1986,973,719,254,37333,30728,6605,34527,28652,5875,2806,2076,729,1849192,1574094,275098,122074,118214,138521,11310502,7382408,341536,0,247595,551375,44845,103312,25733,185047,0,690909,1737741,8312559,5271872,439407,2307427,24564,80335,114445,74509,15203453,1457264,0,13998,10696065,3074907,1056670,6396162,80533,87793,1833549,212258,34164,1559900,13834,13392,31892,20666,3557,4901,2705,63,12399,7332,896,4126,4,41,Cifras definitivas
23,Construcción,2019,29,Tlaxcala,1872,1588,284,1870,1586,284,2,2,0,4376,3544,832,4371,3539,832,5,5,0,126589,109992,16597,72085,69350,58420,276625,169165,16439,0,1163,11187,359,245,1596,19,0,2519,73933,578568,317383,27187,1867,1710,516,0,229905,385333,62791,0,24997,271374,163977,20204,75736,5663,5793,60104,42974,524,14754,955,897,3582,1992,0,1098,446,46,3243,2374,0,869,0,0,Cifras definitivas
23,Construcción,2019,30,Veracruz de Ignacio de la Llave,23453,20441,3012,23031,20051,2980,423,391,32,54543,45747,8796,53323,44619,8704,1220,1128,92,2296789,1975494,321295,100726,98526,107817,7506749,3401702,59892,0,1169494,381035,67671,246294,54148,143414,0,677022,1306077,22540597,9305138,299914,3464367,0,847970,1314897,7308311,9128204,441326,0,103705,7875529,3519453,798354,2823843,168132,565747,1616474,698461,22528,823133,24941,47411,123576,63947,1648,37725,15502,4754,52573,40847,0,11707,19,0,Cifras definitivas
23,Construcción,2019,31,Yucatán,17199,15631,1568,17104,15554,1550,95,78,17,39379,34900,4480,39101,34672,4429,278,228,50,1727020,1587333,139687,101154,102056,90096,6899615,4003229,197485,6725,255107,312750,55914,284315,112086,15956,2096,604726,1049229,9068377,7472590,247329,728851,89766,28436,52177,449228,16015379,1880338,3544,245418,2506575,1158301,451846,582110,96544,217774,241422,109740,13710,91930,11610,14432,34000,7121,7,16364,4887,5620,29945,16186,0,12303,1456,0,Cifras definitivas
23,Construcción,2019,32,Zacatecas,7388,6652,736,6816,6181,635,572,471,101,16758,14682,2075,15109,13324,1784,1649,1358,291,653821,592123,61698,96811,95804,97100,1492189,951631,16745,0,102044,129843,13301,11757,2966,14182,0,88914,160807,2324259,1884925,19614,291537,596,11288,10121,106178,2294566,73362,0,83173,2226003,1380147,142005,494920,52365,156567,357842,227051,4372,108316,8836,9267,289106,257027,20742,7652,3594,91,8208,3604,0,4604,0,0,Cifras definitivas
23,Construcción,2020,00,Nacional,502424,426942,75482,457359,387844,69515,45065,39098,5967,1192329,982197,210133,1062607,869672,192935,129722,112525,17197,70332841,59372863,10959978,156342,153084,157663,347013438,189816735,18098944,292631,15275197,15769815,1735275,7567703,4862325,11384802,256543,35684785,46268681,470351769,269351344,53884614,49486406,36677513,2252180,8164877,50534835,399872621,64308216,62563,7214720,147523445,68788682,35389400,30286372,4199170,8859822,19969140,10048588,1781405,6555997,651323,931827,2619384,1172220,304594,685933,276562,180075,1205920,701897,43912,431746,12813,15553,Cifras definitivas
236,Edificación,2020,00,Nacional,235091,197109,37982,213920,179532,34388,21171,17576,3595,539513,431629,107885,478502,380978,97524,61011,50651,10360,28781290,23584583,5196707,136394,131367,151122,153061854,84560122,5039194,162486,5823633,3562304,988402,2622594,2996529,4633352,41020,24541980,18090239,216310582,113944961,10674059,21532560,34663745,1113455,4803240,29578561,185433313,17201702,47925,3285685,50967987,18939452,10730077,14024612,2008739,5265107,7068095,2557390,440612,3214488,308474,547131,1082482,313541,205927,277777,196956,88281,571992,310154,23836,222352,9279,6371,Cifras definitivas
237,Construcción de obras de ingeniería civil,2020,00,Nacional,173389,152263,21126,152804,133737,19066,20585,18526,2060,414149,356404,57746,354975,303164,51810,59175,53240,5935,28708228,25255467,3452761,189218,188844,181094,127764870,72089762,4048270,64746,4513103,6745334,526921,4134779,981956,5897149,211698,9756833,18794318,151606127,116823132,5004502,13502124,889369,744358,2154694,12487948,163208308,14542034,11588,2311414,56123528,33944129,7476926,9969384,1702044,3031045,7277514,4506446,333905,1846506,267836,322821,963838,584528,19774,225278,55692,78565,495208,306919,7898,167803,3501,9088,Cifras definitivas
238,Trabajos especializados para la construcción,2020,00,Nacional,93944,77570,16374,90636,74574,16061,3309,2996,313,238667,194165,44502,229130,185530,43601,9537,8635,902,12843323,10532813,2310510,147406,141239,143855,66186714,33166851,9011480,65400,4938460,5462178,219953,810331,883840,854301,3825,1385972,9384125,102435060,38583250,38206053,14451723,1124399,394366,1206943,8468326,51231000,32564480,3050,1617622,40431930,15905100,17182397,6292375,488387,563670,5623531,2984753,1006888,1495004,75013,61874,573064,274150,78893,182878,23913,13229,138720,84823,12178,41591,33,94,Cifras definitivas
23,Construcción,2020,01,Aguascalientes,8844,7654,1189,8514,7327,1187,330,328,2,20080,16553,3527,19127,15605,3522,953,948,5,922825,780734,142091,109894,106558,119687,5764875,3722485,42223,59005,69589,280294,84764,60796,24625,81781,246,539992,799076,3597492,2408072,171691,198795,1208,11516,493441,312770,4844190,169876,7837,229704,3313070,1195535,1440932,540634,45755,90214,310293,128610,15797,153233,8285,4368,12873,2954,6541,2645,430,302,5520,876,3686,958,0,0,Cifras definitivas
23,Construcción,2020,02,Baja California,15870,13656,2214,12587,10659,1929,3283,2997,285,37762,31313,6449,28303,22681,5622,9459,8632,827,1932362,1564921,367441,156482,146818,190530,8797548,4989074,199991,66176,89202,289587,35971,67202,55809,456300,37390,845501,1665345,7084764,6488702,181321,254915,3881,24377,15600,115969,12431553,1835025,438,213254,2043747,1362053,343303,286127,22668,29595,360026,247674,20352,82406,4207,5386,58172,20428,5693,31127,670,254,19832,5510,0,14318,4,0,Cifras definitivas
23,Construcción,2020,03,Baja California Sur,9044,7554,1491,8440,7083,1357,604,470,134,20806,16369,4437,19063,15012,4050,1744,1357,387,967110,832289,134821,116226,117503,99388,2060476,1176687,124052,0,52420,88560,4967,72488,39403,104771,575,215932,180623,1612403,1138572,205720,149771,11288,10213,4401,92438,2440453,1773143,0,67843,1188083,567572,127123,418686,26116,48585,171925,59416,1779,100162,3268,7300,37331,30619,323,2510,2165,1713,9318,629,5834,2825,9,21,Cifras definitivas
23,Construcción,2020,04,Campeche,5505,5058,447,2349,1914,435,3156,3144,12,14142,13195,947,5053,4141,912,9089,9054,35,1054696,843470,211226,458269,440629,485912,3390598,1933451,2455,0,31762,167696,8695,194478,14115,272120,159735,289589,316500,2953976,2714211,3720,90757,22910,21319,36795,64265,4375985,30681,0,24686,3404162,3056105,156033,75145,26429,90450,226342,193514,7295,17029,3136,5367,23952,20405,0,2753,366,428,49278,39700,3001,6577,0,0,Cifras definitivas
23,Construcción,2020,05,Coahuila de Zaragoza,15972,13164,2809,14024,11555,2470,1948,1609,339,37413,29319,8094,31796,24680,7117,5617,4639,977,2028255,1628032,400223,146082,140899,162066,11928819,6965865,789360,0,161442,487694,82360,246315,58626,313325,0,1701050,1122782,13394809,10198946,1795099,461230,156116,108113,486869,188437,13553723,2987812,305,212708,3863164,1778553,449098,1461889,59906,113718,391588,141168,19858,206705,8863,14994,143431,93047,20822,27568,1347,648,29494,20608,1863,7023,0,0,Cifras definitivas
23,Construcción,2020,06,Colima,5617,4638,978,5492,4513,978,125,125,0,12323,10264,2059,11961,9901,2059,363,363,0,548721,446553,102168,101973,98942,104444,2316810,1241545,12379,1234,83114,206223,13106,60891,32599,38839,0,43704,583174,3517117,2797945,26877,237393,151483,1800,115522,186098,3047097,55951,0,208403,1496181,578602,529420,284977,52799,50384,250412,90074,60094,84779,8159,7306,26511,15089,56,7193,1186,2988,31387,23120,207,8059,0,0,Cifras definitivas
23,Construcción,2020,07,Chiapas,9785,8385,1400,9456,8091,1365,329,294,35,22637,18642,3996,21690,17796,3895,947,846,101,948340,790520,157820,103705,97702,115626,3348314,1122505,153123,0,13754,599462,50638,613536,23571,68700,0,46960,656065,6946497,4536384,139072,39299,623643,80054,568232,959815,4614113,195973,40,223777,1807859,1215726,140904,335381,37680,78168,195486,123791,7409,52754,6318,5214,34179,13470,39,15573,3571,1527,12682,0,0,12675,0,7,Cifras definitivas
23,Construcción,2020,08,Chihuahua,16159,13094,3065,14393,11740,2652,1767,1354,413,37087,28783,8304,32002,24883,7119,5085,3900,1186,1799889,1442940,356949,128679,122906,134577,15998551,6659057,1338251,35432,912893,472419,75388,153907,159228,727366,2004,3747431,1715174,11639871,7176979,939527,2608255,19471,13231,270779,611630,19868506,6434482,1002,282018,3178024,1949065,321749,676508,106736,123965,434793,226575,18370,154398,19599,15851,109361,50870,4029,14911,2435,37116,36363,20478,4844,11009,31,0,Cifras definitivas
23,Construcción,2020,09,Ciudad de México,80676,68471,12206,67367,56939,10428,13309,11532,1777,194309,159970,34339,155973,126759,29214,38336,33211,5125,11937790,9815387,2122403,179808,172384,203525,62613610,35794940,1242617,19,4123355,1963123,491994,643477,617716,4709802,15180,4471987,8539398,68206173,37116841,10482119,10780540,6127041,5622,531175,3162834,78112210,12563876,1393,588756,8098039,4204355,1032431,1694607,618252,548393,1360405,782677,54645,368204,102661,52218,185413,82254,7397,52421,19013,24328,95140,76164,10503,7110,1109,254,Cifras definitivas
23,Construcción,2020,10,Durango,6290,5530,759,5891,5148,742,399,382,17,14614,12516,2098,13465,11415,2049,1149,1100,49,633509,541190,92319,109286,105120,124350,4621692,3435620,7756,0,29187,192070,19383,78306,11182,29441,0,246851,571896,5644912,4580277,28021,83987,24638,77724,1464,848803,5151191,42359,162,75731,4763571,2338410,256124,1187382,154910,826746,376255,202610,10574,146801,5176,11095,67839,27091,2045,37336,851,515,195760,118757,0,76838,165,0,Cifras definitivas
23,Construcción,2020,11,Guanajuato,19625,17066,2560,19383,16858,2525,242,207,35,45651,38636,7015,44958,38044,6914,693,592,101,1992553,1692968,299585,104655,100423,118670,9699491,4494360,1695224,0,558664,438168,36947,336081,41789,91623,6448,1247737,752450,13578292,7836861,3092536,1184816,212240,2441,66438,1182960,12894307,3206912,0,365427,6035190,4305780,454735,840108,180491,254075,630944,295319,8735,256525,25186,45179,54753,35083,212,14973,3059,1426,15198,7607,0,3422,1934,2235,Cifras definitivas
23,Construcción,2020,12,Guerrero,2288,1786,501,2288,1786,501,0,0,0,5266,3805,1461,5266,3805,1461,0,0,0,261499,199211,62288,117832,111513,124307,838233,507869,100142,0,20224,62428,9307,16181,37309,0,0,5863,78911,645297,439266,39760,76326,9065,37353,15330,28198,804987,1010517,0,6557,1396566,835222,178995,341602,30390,10356,219969,122927,9782,81248,4594,1417,5931,3319,244,1368,992,8,1612,0,0,1612,0,0,Cifras definitivas
23,Construcción,2020,13,Hidalgo,8301,6609,1692,8008,6316,1692,294,294,0,19330,14575,4755,18480,13725,4755,850,850,0,875055,683413,191642,116984,108204,113276,3629962,1783623,29251,0,87185,245914,13908,83296,46277,87839,0,214734,1037934,4539481,3891373,16584,249102,12167,43495,131698,195063,6351321,36861,38892,368559,3565601,1600699,640010,605952,507304,211637,564108,270980,31669,126239,99459,35760,86359,24412,29132,12630,793,19392,12928,11133,0,1795,0,0,Cifras definitivas
23,Construcción,2020,14,Jalisco,41561,35400,6160,38558,32871,5688,3002,2530,472,99420,81638,17782,90770,74350,16420,8650,7288,1362,4603762,3865754,738008,121379,117605,129750,23732319,12402351,4443203,0,784908,1373736,70246,578409,297837,258894,10126,505433,3007176,24324440,8177675,2489135,6260097,187736,78288,478323,6653186,30045230,10828909,2355,246315,17653315,9325892,2723221,1542413,410290,3651499,3188205,2051290,155403,464451,79171,437889,206556,55032,13196,15389,108555,14383,42262,33448,5481,3309,0,24,Cifras definitivas
23,Construcción,2020,15,México,49745,43462,6282,47265,41347,5918,2479,2115,364,128007,109811,18196,120848,103704,17144,7159,6107,1052,14521220,13088418,1432802,312489,316550,242104,39077125,23559181,359714,0,1735027,2730194,87066,1526207,761213,787233,10169,1071052,6450070,61077370,53563041,592501,4954951,594884,84355,315230,972406,45231900,1353675,0,227221,9548199,6404874,1344697,1336900,150956,310773,1764624,1331337,66480,325995,25109,15702,130582,94840,270,24606,6361,4505,95346,79734,0,14324,1288,0,Cifras definitivas
23,Construcción,2020,16,Michoacán de Ocampo,14443,11810,2634,14305,11674,2632,138,136,2,32208,25147,7061,31811,24755,7056,397,392,5,1542931,1281729,261202,109278,109797,99256,2216587,1441506,301598,0,8102,126525,9648,48121,10835,44508,230,85889,139626,1835226,1509831,184045,23204,747,13308,22345,81747,5752949,1704071,34,54340,1419629,804757,123808,422052,30849,38163,192029,106149,4511,72505,4282,4581,14903,5773,1347,5313,954,1517,7239,2410,1449,3291,13,75,Cifras definitivas
23,Construcción,2020,17,Morelos,5966,4903,1064,5814,4785,1029,152,118,34,13662,10789,2873,13224,10449,2774,438,340,99,526674,434138,92536,91039,90731,89889,2368627,1815164,174351,785,46447,57786,7553,5351,20070,16585,230,39311,184993,3247712,2222579,328827,418416,0,14783,232424,30682,2394200,365307,417,15714,694090,133332,236997,297760,11599,14402,96332,23076,13837,55268,1818,2333,96255,1912,54847,37703,1774,19,3204,2843,0,360,0,0,Cifras definitivas
23,Construcción,2020,18,Nayarit,4268,3750,518,4151,3638,513,117,112,5,9652,8169,1482,9314,7845,1469,338,324,13,562823,490625,72198,138141,134849,140764,2176929,772119,38037,496,560,241836,35100,410396,2379,18922,0,543104,113980,2263139,2074707,17775,1603,2728,13595,19038,133693,2161465,181137,0,146870,990113,664594,125248,165012,16142,19116,101261,59850,6963,30184,2456,1807,7962,3603,0,3177,646,536,3039,1673,90,1276,0,0,Cifras definitivas
23,Construcción,2020,19,Nuevo León,36462,30688,5774,31009,26125,4884,5454,4564,890,90206,75672,14534,74498,62530,11968,15708,13142,2566,5448716,4515879,932837,176814,172858,190992,37515513,20030357,3473669,8667,2647485,471845,96982,200202,1939211,1223996,3795,2704670,4714634,62673420,22600256,26623789,7564232,464398,83469,197573,5139703,43076275,8733280,2,443918,15940024,9640017,1928480,3614388,344208,412930,1875323,1173533,26526,601238,34465,39561,399751,258996,4058,61263,55760,19674,80727,14811,4016,52837,2851,6213,Cifras definitivas
23,Construcción,2020,20,Oaxaca,10229,8615,1614,10204,8601,1604,25,14,11,22698,18490,4207,22627,18450,4177,70,41,30,969145,792275,176870,101233,92116,110295,1225322,1005940,2706,1008,14910,37550,32548,6067,15739,2791,608,7567,97887,3232910,2881675,5629,42596,0,19594,163818,119596,3573530,9768,111,180137,443829,167175,106103,146672,11978,11902,98484,48815,5344,40054,2105,2166,707,213,11,410,22,52,35,8,9,12,4,2,Cifras definitivas
23,Construcción,2020,21,Puebla,14505,12236,2270,13209,11153,2057,1296,1083,213,33532,26937,6594,29800,23819,5981,3731,3118,613,1612142,1342792,269350,124746,120399,130969,8125389,5275463,275494,0,638458,321485,22590,166806,67163,356168,4200,181405,816157,19275230,9146945,562381,1824121,4387185,44190,1497617,1812790,10240799,487984,0,466602,3436237,660395,372882,1518422,410875,473662,656801,110260,20985,385664,72547,67345,178298,42221,53,114701,8966,12357,273713,136621,0,137060,32,0,Cifras definitivas
